,id,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365
3284,30394651,228217790,Short Stay Group,Oud-Noord,52.39595,4.90528,Entire home/apt,204,1,11,5,360
3285,30394793,228217790,Short Stay Group,Oud-Noord,52.396879999999996,4.90371,Entire home/apt,234,1,19,5,363
3286,30394912,198405490,Suzanne,Centrum-West,52.38075,4.88625,Entire home/apt,375,2,21,6,46
3287,30394946,228217790,Short Stay Group,Oud-Noord,52.39674,4.90495,Entire home/apt,309,1,0,5,339
3288,30395086,228217790,Short Stay Group,Oud-Noord,52.39695,4.9045,Entire home/apt,479,1,3,5,339
3289,30400356,5137582,C.T.,Gaasperdam - Driemond,52.31008,4.99993,Private room,85,1,4,6,339
3290,30418746,156790830,Mila,Centrum-West,52.38176,4.88554,Private room,99,1,77,3,314
3291,30453053,1442073,Johanna,Oostelijk Havengebied - Indische Buurt,52.36422,4.93679,Entire home/apt,130,5,5,1,2
3292,30456037,3256471,Dilesh,De Pijp - Rivierenbuurt,52.352759999999996,4.898619999999999,Entire home/apt,120,6,10,1,10
3293,30461243,228692066,Charline,Zuid,52.34902,4.87893,Private room,80,1,65,1,0
3294,30464560,14706918,Marcel,Oostelijk Havengebied - Indische Buurt,52.3593,4.93622,Entire home/apt,75,2,17,1,0
3295,30467382,45057037,Alexandra,Zuid,52.35438,4.86322,Entire home/apt,550,3,6,1,32
3296,30504115,7134355,Michiel,Oud-Oost,52.36264,4.92591,Private room,85,1,76,2,4
3297,30505312,1619130,Laurens,Oud-Noord,52.39614,4.91603,Entire home/apt,128,1,13,1,123
3298,30514273,223790843,Jan Willem,De Pijp - Rivierenbuurt,52.35723,4.90015,Private room,137,1,0,2,245
3299,30545791,114331931,Atse,Osdorp,52.360209999999995,4.80662,Entire home/apt,160,2,22,1,0
3300,30551730,33755999,Martin,De Pijp - Rivierenbuurt,52.3544,4.88679,Private room,178,2,21,1,124
3301,30553458,229196646,Amsterdam Oosterpark By YAYS,Oud-Oost,52.36098,4.92529,Entire home/apt,465,1,8,6,297
3302,30553701,229196646,Amsterdam Oosterpark By YAYS,Oud-Oost,52.3593,4.926740000000001,Entire home/apt,403,1,7,6,296
3303,30553840,229196646,Amsterdam Oosterpark By YAYS,Oud-Oost,52.3598,4.925669999999999,Entire home/apt,188,1,16,6,325
3304,30553943,229196646,Amsterdam Oosterpark By YAYS,Oud-Oost,52.360237,4.926469,Entire home/apt,198,1,36,6,354
3305,30554026,229196646,Amsterdam Oosterpark By YAYS,Oud-Oost,52.36045,4.92735,Entire home/apt,166,1,77,6,268
3306,30562707,11654284,Olga,Oud-Oost,52.3603,4.92601,Entire home/apt,180,5,1,1,22
3307,30685379,10789364,Elina,De Pijp - Rivierenbuurt,52.3566,4.8891599999999995,Shared room,45,1,25,2,0
3308,30690086,117820649,Mohanned,De Aker - Nieuw Sloten,52.346090000000004,4.80854,Private room,190,2,0,5,0
3309,30691249,2579930,Veronica,De Pijp - Rivierenbuurt,52.35477,4.90233,Entire home/apt,110,3,3,1,0
3310,30705618,229836829,Donnee,Westerpark,52.38258,4.87104,Entire home/apt,120,3,0,1,305
3311,30708651,1642527,Ben,Westerpark,52.3738,4.87311,Entire home/apt,250,1,15,1,0
3312,30723226,226181266,Carien,Centrum-West,52.38194,4.885280000000001,Private room,90,2,42,1,100
3313,30733364,50597448,Gisselle,Oud-Noord,52.3998,4.91349,Entire home/apt,100,2,6,1,158
3314,30757070,230153935,Maartje,Noord-Oost,52.38883,4.95662,Entire home/apt,177,3,12,1,0
3315,30759603,230163762,Short Stay Group,Centrum-Oost,52.37058,4.91107,Entire home/apt,230,1,27,2,332
3316,30759999,230163762,Short Stay Group,Centrum-Oost,52.37192,4.90925,Entire home/apt,171,1,7,2,327
3317,30762384,228208519,Eric,Centrum-Oost,52.37695,4.90782,Entire home/apt,136,1,133,5,358
3318,30762441,228208519,Eric,Centrum-Oost,52.37847,4.90756,Entire home/apt,214,1,457,5,365
3319,30765293,18983543,Timmy,Noord-West,52.40417,4.91631,Entire home/apt,120,4,9,1,0
